id,movie,year,genre,duration,country,director,humor,rhythm,effort,tension,vote,avg_vote
2997,Diabolo Menthe,1977,Comedy,95,France,Diane Kurys,2,1,0,0,6,7
3010,Le grand escogriffe,1976,Comedy,100,France,Claude Pinoteau,2,1,0,1,4,4
3026,Gervaise,1956,Drama,116,France,René Clément,0,2,2,2,7,11
3031,Green Ice,1981,Adventure,105,Great Britain,Ernest Day,0,3,0,2,6,12
3048,The Assam Garden,1985,Comedy,90,Great Britain,Mary McMurray,2,2,3,1,7,16
3072,Drowning by Numbers,1988,Drama,115,Great Britain,Peter Greenaway,2,3,3,3,7,49
3082,The Magus,1968,Drama,116,Great Britain,Guy Green,1,2,1,2,5,9
3087,Une journée bien remplie,1972,Grotesque,90,France,Jean-Louis Trintignant,2,2,1,1,6,21
3115,Hennessy,1973,Thriller,100,Great Britain,Don Sharp,0,2,1,3,7,4
3117,Young and Innocent,1937,Thriller,80,Great Britain,Alfred Hitchcock,3,3,1,2,7,82
3133,The Loneliness of the Long Distance Runner,1962,Drama,104,Great Britain,Tony Richardson,1,3,4,3,8,36
3159,Colditz Story,1954,War,102,Great Britain,Guy Hamilton,1,2,2,2,6,19
3204,Gothic,1986,Horror,90,Great Britain,Ken Russell,0,2,0,2,5,32
3216,That Hamilton Woman,1941,Drama,128,Great Britain,Alexander Korda,1,2,0,1,7,23
3255,Robbery Under Arms,1957,Adventure,88,Great Britain,Jack Lee,0,2,1,2,6,9
3270,Les grandes manoeuvres,1955,Comedy,107,France,René Clair,2,2,1,1,6,32
3272,Great Expectations,1946,Drama,118,Great Britain,David Lean,1,3,2,3,7,53
3285,Schrei aus Stein,1991,Adventure,106,Germany,Werner Herzog,0,2,3,1,6,30
3290,Touchez pas au grisbi,1954,Noir,94,France,Jacques Becker,1,3,2,3,8,73
3307,La guerre des boutons,1961,Comedy,95,France,Yves Robert,3,3,3,0,7,19
3318,Conspiracy of Hearts,1960,Drama,113,Great Britain,Ralph Thomas,0,2,2,3,7,3
3353,Harlequin,1980,Drama,96,Australia,Simon Wincer,1,3,3,3,6,10
3373,Heimat: Eine Chronik in elf Teilen - Heimatfront,1984,Drama,59,Germany,Edgar Reitz,1,2,3,2,8,12
3374,Heimat: Eine Chronik in elf Teilen - Die stolzen Jahre,1984,Drama,82,Germany,Edgar Reitz,1,2,3,2,8,14
3375,Heimat: Eine Chronik in elf Teilen - Hermännchen,1984,Drama,119,Germany,Edgar Reitz,1,2,3,2,8,14
3376,Heimat: Eine Chronik in elf Teilen - Die Mitte der Welt,1984,Drama,90,Germany,Edgar Reitz,1,2,3,2,8,14
3377,Heimat: Eine Chronik in elf Teilen - Der Amerikaner,1984,Drama,119,Germany,Edgar Reitz,1,2,3,2,8,14
3378,Heimat: Eine Chronik in elf Teilen - Die Liebe der Soldaten,1984,Drama,59,Germany,Edgar Reitz,1,2,3,2,8,14
3379,Heimat: Eine Chronik in elf Teilen - Das Fest der Lebenden und der Toten,1984,Drama,100,Germany,Edgar Reitz,1,2,3,2,8,12
3380,Heimat: Eine Chronik in elf Teilen - Weihnacht wie noch nie,1984,Drama,58,Germany,Edgar Reitz,1,2,3,2,8,13
3381,Heimat: Eine Chronik in elf Teilen - Fernweh,1984,Drama,120,Germany,Edgar Reitz,1,2,3,2,8,15
3382,Heimat: Eine Chronik in elf Teilen - Auf und davon und zurück,1984,Drama,59,Germany,Edgar Reitz,1,2,3,2,8,13
3383,Heimat: Eine Chronik in elf Teilen - Reichshöhenstrasse,1984,Drama,59,Germany,Edgar Reitz,1,2,3,2,8,13
3385,Hellbound: Hellraiser II,1988,Horror,93,Great Britain,Tony Randel,0,2,0,2,6,67
3392,High Spirits,1988,Fantasy,95,Great Britain,Neil Jordan,2,2,0,1,5,36
3426,Rogue Male,1976,Adventure,100,Great Britain,Clive Donner,0,0,0,0,6,3
3451,L'éternel retour,1943,Romantic,102,France,Jean Delannoy,0,2,3,3,6,11
3462,L'important c'est d'aimer,1974,Drama,115,France,Andrzej Zulawski,0,2,1,1,7,40
3464,The Importance of Being Earnest,1952,Comedy,95,Great Britain,Anthony Asquith,2,2,0,1,7,23
3515,Accident,1967,Drama,105,Great Britain,Joseph Losey,1,3,4,3,7,55
3521,Otley,1970,Comedy,90,Great Britain,Dick Clement,2,2,0,1,5,7
3576,An Englishman Abroad,1982,Comedy,72,Great Britain,John Schlesinger,0,0,0,0,8,3
3577,Initiation,1987,Adventure,100,Australia,Michael Pearce,0,2,1,2,4,5
3595,Monsieur Hire,1989,Thriller,80,France,Patrice Leconte,1,2,3,4,7,47
3596,Sleuth,1972,Thriller,138,Great Britain,Joseph L. Mankiewicz,1,2,1,3,7,80
3599,Mad Max,1979,Action,88,Australia,George Miller,3,4,3,4,6,295
3601,Mad Max 2,1981,Action,92,Australia,George Miller,1,4,0,3,7,266
3613,Bâton Rouge,1988,Thriller,90,Spain,Rafael Moleón,1,2,0,2,4,7
3616,Monsieur,1964,Comedy,95,France,Jean-Paul Le Chanois,2,2,0,1,6,4
3629,Forty-Ninth Parallel,1941,War,123,Great Britain,Michael Powell,1,2,1,3,7,27
3638,The Whistle Blower,1986,Spy,98,Great Britain,Simon Langton,2,2,3,3,6,34
3652,Eagle's Wing,1979,Western,104,Great Britain,Anthony Harvey,0,2,0,2,7,20
3664,This Sporting Life,1963,Drama,129,Great Britain,Lindsay Anderson,0,3,3,3,7,49
3671,The Ipcress File,1965,Spy,109,Great Britain,Sidney J. Furie,1,3,1,3,7,69
3676,The Dawning,1988,Drama,95,Great Britain,Robert Knights,1,2,2,3,6,3
3682,Isadora,1968,Drama,104,Great Britain,Karel Reisz,1,2,0,2,6,10
3724,For Your Eyes Only,1981,Spy,127,Great Britain,John Glen,2,3,2,2,7,167
3728,Jean de Florette,1986,Drama,121,France,Claude Berri,1,3,4,3,7,9
3734,The Flesh and the Fields,1959,Horror,90,Great Britain,John Gilling,0,2,0,4,6,11
3738,Jesuit Joe,1992,Adventure,99,France,Oliver Austen,1,2,0,1,6,3
3744,Jo,1971,Comedy,98,France,Jean Girault,3,3,0,0,7,39
